_id,data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,tipo,auto,ciclom,moto,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,num_semaforo,sentido_via,descricao,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
531,2020-01-18T00:00:00,10:18:00,COM VÍTIMA,FINALIZADA,BEBERIBE,AV BEBERIBE,1095,,EM FRENTE A FRIGO ALVES,BEBERIBE,ATROPELAMENTO ANIMAL,,,1,,,,,,1,1,,,SUBURBIO,AUTO X ANIMAL,Longo da via,Bom,Não existe,Perfeito estado,Seca,,Não existe,Não há placas,40 km/h,Dupla,Faixa seccionada,,
532,2020-01-18T00:00:00,10:30:00,SEM VÍTIMA,CANCELADA,JORDÃO,AV MARIA IRENE,290,,RUA DA IGREJA LIRIO DOS VALES,JORDÃO,COLISÃO,2,,,,,,,,,0,,,,DOIS AUTOS,,,,,,,,,,,,,
533,2020-01-18T00:00:00,11:07:00,SEM VÍTIMA,FINALIZADA,SÃO JOSÉ,C SANTA RITA,595,,LADO OPOSTO AS TORRES GÊMEAS,SÃO JOSÉ,COLISÃO TRASEIRA,2,,,,,,,,,0,,,SUBURBIO,DOIS AUTOS,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa seccionada,Canteiro central,
534,2020-01-18T00:00:00,11:52:00,SEM VÍTIMA,FINALIZADA,BOA VISTA,RUA DO GIRIQUITI,18,,EM FRENTE AO Nº 18,BOA VISTA,COLISÃO TRASEIRA,2,,,,,,,,,0,,,CIDADE,COLISÃO S/VITIMAS ENTRE DOIS AUTOS,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,,Única,Não existe,,
535,2020-01-18T00:00:00,12:24:00,SEM VÍTIMA,FINALIZADA,JORDÃO,AV DONA CARENTINA,21,,ESCOLA ESTADUAL ENELDA RABELO,JORDÃO,CHOQUE VEÍCULO PARADO,1,,,,,1,,,,0,,,SUBURBIO,COLISAO SEM VITIMAS,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,,,,Dupla,Faixa seccionada,,
536,2020-01-18T00:00:00,12:32:00,SEM VÍTIMA,FINALIZADA,BOMBA DO HEMETÉRIO,RUA CHA DE ALEGRIA,107,RUA TAMBOARA,,BOMBA DO HEMETÉRIO,COLISÃO TRASEIRA,,,2,,,,,,,0,,,CIDADE,ENTRE DUAS MOTOS S/V,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Outras,,Dupla,Faixa seccionada,,
537,2020-01-18T00:00:00,13:01:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA SA E SOUZA,580,RUA LUIZ PIMENTEL,E/F A IGREJA DE JESUS CRISTOS DOS ULTIMOS DIAS,BOA VIAGEM,ABALROAMENTO TRANSVERSAL,1,,1,,,,,,,1,,,CIDADE,COLISAO COM VITIMAS,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,,Dupla,Faixa seccionada,,
538,2020-01-18T00:00:00,14:13:00,SEM VÍTIMA,FINALIZADA,BOA VISTA,RUA SAO GONCALO,497,RUA DA GLORIA,,BOA VISTA,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,,SUBURBIO,ENTRE DOIS AUTOS S/V,,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,40 km/h,Única,Faixa seccionada,,
539,2020-01-18T00:00:00,14:22:00,SEM VÍTIMA,FINALIZADA,ILHA DO RETIRO,RUA SPORT CLUBE DO RECIFE,,RUA JOAO ELISIO RAMOS,AO LADO DO ESTÁDIO ADELMAR DA COSTA CARVALHO,ILHA DO RETIRO,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,355,CIDADE,COLISÃO SEM VITIMA,,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,R-6a,,Dupla,Faixa contínua,Canteiro central,
540,2020-01-18T00:00:00,14:27:00,SEM VÍTIMA,FINALIZADA,TORRÕES,,,RUA ONZE DE FEVEREIRO,AO LADO DO LAVA JATO BRILHO CAR,TORRÕES,ABALROAMENTO LONGITUDINAL,1,,1,,,,,,,0,,,,ENTRE AUTO PASSEIO X MOTO COM VÍTIMA,Cruzamento,Bom,Não existe,,Seca,Perfeito estado,Não existe,Placas Pare,,Dupla,,,
541,2020-01-18T00:00:00,14:27:00,SEM VÍTIMA,CANCELADA,BOA VIAGEM,RUA JAIME RAMIRO COSTA,176,,PROX A QUADRA DE TENIS,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,COLISAO SEM VITIMAS,,,,,,,,,,,,,
542,2020-01-18T00:00:00,14:27:00,SEM VÍTIMA,DUPLICIDADE,COELHOS,RUA SAO GONCALO,7,,NA RUA DO MERCADO DA BOA VISTA,COELHOS,COLISÃO,2,,,,,,,,,0,,,,COLISÃO SEM VITIMA,,,,,,,,,,,,,
